s.no,code,Station,Latitude,Longitude
1,APR,Anuppur Junction,23.1178762,81.6964695
2,BTC,Balaghat Junction,21.8132939,80.1997061
3,BPL,Bhopal Junction,23.2664845,77.4130845
4,BINA,Bina Junction,24.1712328,78.1851809
5,BRND,Boridand Junction,23.2672953,82.1778578
6,CWA,Chhindwara Junction,22.0578229,78.953772
7,DWX,Dewas Junction,22.9780228,76.0519637
8,GUNA,Guna Junction,24.6409015,77.3142908
9,GWL,Gwalior Junction,26.2162438,78.1826037
10,INDB,Indore Junction,22.7170064,75.8684722
11,ET,Itarsi Junction,22.6085628,77.76707
12,KRLR,Karaila Road Junction,24.2702222,82.7252006
13,KTE,Katni Junction,23.8347633,80.4006981
14,KNW,Khandwa Junction,21.8237021,76.3532291
15,MKC,Maksi Junction,23.252069,76.1584869
16,MINA,Miyana Junction,23.1034602,70.7547915
17,NAD,Nagda Junction,23.4560185,75.4123199
18,NIR,Nainpur Junction,22.4258293,80.1094709
19,NKJ,New Katni Junction,23.8044778,80.4294223
20,RTM,Ratlam Junction,23.340708,75.0509934
21,RTA,Ruthiyai Junction,24.5346321,77.1798921
22,STA,Satna Junction,24.5677309,80.8286814
23,TLV,Talvadiya Junction,21.927809,76.4446336
24,UJN,Ujjain Junction,23.1795347,75.781954
